Company,City,Addrs,zip,lat,lng
Waldschutz Gesellschaft Mit Beschrankter Haftung,Konstanz, Feuerwehrstr. 2 Pf 809 78224 Singen,78224,47.761842,8.834645
Opti - Arznei Gmbh,Konstanz, Zum Rebosch 18 88662 Uberlingen,88662,47.763514,9.169284
Separatoren-technik Und Anlagenbau Gmbh,Villingen-Schwenningen, Obere Gieswiesen 32 78247 Hilzingen,78247,47.765669,8.778261
Werner Huber Gmbh,Bogenhausen, Gewerbefeld 4 84435 Lengdorf,84435,47.76839,12.20037
Antoch Gmbh,Friedrichshafen, Wolfegger Str. 50 88281 Schlier,88281,47.770624,9.674703
Diaserve Laboratories Gmbh,München, Seeshaupter Str. 27 82393 Iffeldorf,82393,47.770747,11.317725
Hagina Gmbh Handelsgesellschaft Industrieller...,München, Seeshaupter Str. 7 82393 Iffeldorf,82393,47.770747,11.317725
Trs International Gmbh Produktion Von...,München, Vorbergstr. 10 83666 Waakirchen,83666,47.773121,11.675037
Arthur Schopf Hygiene Gmbh co.kg,Rosenheim, Pfaffensteinstr. 1 83115 Neubeuern,83115,47.773976,12.139849
Fischinger Markisen Gmbh,Friedrichshafen, Deisenfangstr. 61 88212 Ravensburg,88212,47.775671,9.621859
Martin Mutschler,Friedrichshafen, Gartenstr. 41 88212 Ravensburg,88212,47.775671,9.621859
Schindele Handels-gmbh & Co.,Friedrichshafen, Schlegelwinkel Pf 2310 88212 Ravensburg,88212,47.775671,9.621859
Schindele Handels-gmbh & Co. Kg,Konstanz, Schlegelwinkel 88212 Ravensburg,88212,47.775671,9.621859
Klaus Mesenbrock,Kempten (Allgäu), Johannes-brahms-str. 6 87616 Marktoberdorf Bayern,87616,47.777495,10.618081
...,Rosenheim, Kirchstr. 10 83229 Aschau,83229,47.780497,12.324173
Max Morant Gmbh & Co. Kg Chemische Fabrik,Rosenheim, Zellerhornstr. 73 Pf 1150 83229 Aschau,83229,47.780497,12.324173
Neopharma Gmbh & Co. Kg,Rosenheim, Kirchstr. 10 83229 Aschau,83229,47.780497,12.324173
Sambol Ibs Gmbh,Konstanz, Walter-schellenberg Str. 6 78315 Radolfzell,78315,47.78901,8.96114
Optosol Chemische Produkte Gmbh,München, Oskar-von-miller-str. 6 83714 Miesbach,83714,47.789395,11.833539
gebr.m&mmorantgmbh,Rosenheim, Bahnhofstr. 110 83224 Grassau,83224,47.792657,12.476041
Gebr. M. U. M. Morant Gmbh,Rosenheim, 83224 Grassau,83224,47.792657,12.476041
Etl Verfahrenstechnik Gmbh,Kaufbeuren, Zechenstr. 22 1160 86971 Peiting,86971,47.794298,10.923669
Hirschberg Cosmetic- Produktions Gmbh,Germering, Trifthofstr. 57 82362 Weilheim,82362,47.796568,10.718852
Hirschberg Kosmetik Produktions Gmbh,Germering, 82362 Weilheim,82362,47.796568,10.718852
Weckerle Maschinenbau Gmbh,Germering, Holzhofstr. 26 82362 Weilheim,82362,47.796568,10.718852
Planatol Klebetechnik Gesellschaft Mit...,Rosenheim, Fabrikstr. 30-32 Pf 62 83101 Rohrdorf,83101,47.796982,12.170023
Planatol-reco Gmbh,Rosenheim, Fabrikstr. 30-32 83101 Rohrdorf,83101,47.796982,12.170023
Plastiroute Spezialfarben Fur...,Freiburg, Renkenrunsstr. 16 79379 Mullheim,79379,47.808682,7.626281
Ytron Process Technology Gmbh & Co. Kg,Rosenheim, Am Anger 25 83233 Bernau,83233,47.811825,12.373839
Dr. Winkler Gmbh & Co Herstellungs-vertriebs Kg,Traunreut, Industriestr. 8 Pf 1160 83404 Ainring Mitterfelden,83404,47.812325,12.941074
Haslauer Gmbh,Traunreut, Kirchenwegstr. 5 83404 Ainring,83404,47.812325,12.941074
Klaus Pahlke Gmbh,Traunreut, Industriestr. 11 83404 Ainring,83404,47.812325,12.941074
Michael Monz,Traunreut, Industriestr. 1 83404 Ainring,83404,47.812325,12.941074
Herkommer & Bangerter Gmbh & Co. Kg,Freiburg, Otto-hahn-str. 16 Pf 1154 79395 Neuenburg Am Rhein,79395,47.814053,7.559048
Losan Pharma Gmbh,Freiburg, Otto-hahn-str. 13 79395 Neuenburg Am Rhein,79395,47.814053,7.559048
Rexam Pharma Gmbh,Freiburg, Rheinwaldstr. 10 79395 Neuenburg,79395,47.814053,7.559048
Heizoelvertrieb Eugen Dietsche Inh. Otto Huber,Konstanz, Altheimer Str. 6 88633 Heiligenberg,88633,47.820666,9.312449
Dr. Spiller Biocosmetic Gmbh,Traunreut, Voglinger Str. 11 83313 Siegsdorf,83313,47.823154,12.646717
Coswell Gmbh,Rosenheim, 83022 Rosenheim,83022,47.828973,12.127668
Jacoby Pharmazeutika Vertriebs Gmbh,Traunreut, Hauptstr. 17 83395 Freilassing,83395,47.834803,12.977438
Topglas Autoglas Handels Gmbh,Traunreut, Surheimer Str. 15 83395 Freilassing,83395,47.834803,12.977438
Naturhaus Naturfarben Gmbh,Rosenheim, Eichenstr. 8 83083 Riedering,83083,47.846505,12.191234
Mues-formenbau Gmbh,Rosenheim, Gewerbepark-conradty 1 83059 Kolbermoor,83059,47.850687,12.060946
Palco Gmbh,Rosenheim, Gewerbepark-conradty 2 Pf 1365 83059 Kolbermoor,83059,47.850687,12.060946
Ese Embedded System Engineering Gmbh,Konstanz, Ludwigshafener Str. 29 78333 Stockach,78333,47.85404,9.014729
Manfred Welsch Gmbh,Konstanz, Industriestr. 23 78333 Stockach,78333,47.85404,9.014729
Welchem Gmbh,München, Weyarner Str. 1 83629 Weyarn,83629,47.858152,11.800045
Alpina Technische Produkte Gmbh,München, Zugspitzweg 50 82538 Geretsried,82538,47.858962,11.481243
Biolinkgesellschaftfurverbindungstechnologienmbh,München, Jeschkenstr. 20 82538 Geretsried,82538,47.858962,11.481243
Herbert Schadt,München, Bohmerwaldstr. 53 82538 Geretsried,82538,47.858962,11.481243
Rudolf Gmbh & Co. Kg Chemische Fabrik,München, Altvaterstr. 58-64 82538 Geretsried,82538,47.858962,11.481243
Swiss Caps Gmbh,Rosenheim, Grassingerstr. 9 83043 Bad Aibling,83043,47.863499,12.010017
Hofidro Hofinger Gmbh & Co. Kg,Rosenheim, Stegen 5 83236 Ubersee,83236,47.86995,12.645452
Besmabeschichtungsmassengmbh,Freiburg, Steinmattenstr. 8 79423 Heitersheim,79423,47.871985,7.660267
Heckel Prazisionsteile Gmbh,Freiburg, Beiersdorfstr. 10 79423 Heitersheim,79423,47.871985,7.660267
Hirtler Gmbh,Freiburg, Beiersdorfstr. 1 Pf 1164 79423 Heitersheim,79423,47.871985,7.660267
J. P. Jakob & Partner Gmbh,Freiburg, Beiersdorfstr. 5 79423 Heitersheim Baden-wuerttemberg,79423,47.871985,7.660267
Winterhalder Selbstklebetechnik Gmbh,Freiburg, Steinmattenstr. 8 79423 Heitersheim,79423,47.871985,7.660267
Gronenbacher Lackfabrik Gropper & Viandt Gmbh,Kempten (Allgäu), Hinter Den Garten 5 87730 Bad Gronenbach,87730,47.874751,10.221928
H E X a L Ag,München, Industriestr. 25 1263 83607 Holzkirchen,83607,47.87669,11.701078
Schimpfhauser & Dengler Gmbh,München, Victor-kaluza-str. 7 Pf 1314 83607 Holzkirchen,83607,47.87669,11.701078
Chinamed,Traunreut, Holzhauser Str. 10 83317 Teisendorf,83317,47.87675,12.810012
Ingeborg Klupp,Kempten (Allgäu), Ludwigstr. 26passag 87600 Kaufbeuren,87600,47.881157,10.624574
Sven Schmauder,Kempten (Allgäu), Gurtlerstr. 18 87600 Kaufbeuren,87600,47.881157,10.624574
